observableId	simulationConditionId	time	measurement	noiseParameters
obs_total_pS1	cond_il10_01	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_01	10.0	0.09534756629347702	sigma_pSTAT1
obs_total_pS1	cond_il10_01	20.0	0.018154270946213594	sigma_pSTAT1
obs_total_pS1	cond_il10_01	30.0	0.04960938760337813	sigma_pSTAT1
obs_total_pS1	cond_il10_01	45.0	0.02140822130924737	sigma_pSTAT1
obs_total_pS1	cond_il10_01	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_01	90.0	0.0	sigma_pSTAT1
obs_total_pS3	cond_il10_01	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il10_01	10.0	0.24912907302046758	sigma_pSTAT3
obs_total_pS3	cond_il10_01	20.0	0.10136453921418412	sigma_pSTAT3
obs_total_pS3	cond_il10_01	30.0	0.0985141076492283	sigma_pSTAT3
obs_total_pS3	cond_il10_01	45.0	0.17220059455161743	sigma_pSTAT3
obs_total_pS3	cond_il10_01	60.0	0.1747161468396658	sigma_pSTAT3
obs_total_pS3	cond_il10_01	90.0	0.25256276601113453	sigma_pSTAT3
obs_total_pS1	cond_il10_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_1	10.0	0.07796161659499046	sigma_pSTAT1
obs_total_pS1	cond_il10_1	20.0	0.09383645437802271	sigma_pSTAT1
obs_total_pS1	cond_il10_1	30.0	0.0977640000622792	sigma_pSTAT1
obs_total_pS1	cond_il10_1	45.0	0.12101560315332091	sigma_pSTAT1
obs_total_pS1	cond_il10_1	60.0	0.08211673542773179	sigma_pSTAT1
obs_total_pS1	cond_il10_1	90.0	0.06695776763807024	sigma_pSTAT1
obs_total_pS3	cond_il10_1	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il10_1	10.0	0.4896163638305561	sigma_pSTAT3
obs_total_pS3	cond_il10_1	20.0	0.7295556273206346	sigma_pSTAT3
obs_total_pS3	cond_il10_1	30.0	0.6840623662583718	sigma_pSTAT3
obs_total_pS3	cond_il10_1	45.0	0.6275099021159483	sigma_pSTAT3
obs_total_pS3	cond_il10_1	60.0	0.5438302022993944	sigma_pSTAT3
obs_total_pS3	cond_il10_1	90.0	0.6470357833979248	sigma_pSTAT3
obs_total_pS1	cond_il10_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_10	10.0	0.19845957632963676	sigma_pSTAT1
obs_total_pS1	cond_il10_10	20.0	0.40998918450492283	sigma_pSTAT1
obs_total_pS1	cond_il10_10	30.0	0.37033173060938773	sigma_pSTAT1
obs_total_pS1	cond_il10_10	45.0	0.18636673498078982	sigma_pSTAT1
obs_total_pS1	cond_il10_10	60.0	0.09105309872533746	sigma_pSTAT1
obs_total_pS1	cond_il10_10	90.0	0.03493691630242684	sigma_pSTAT1
obs_total_pS3	cond_il10_10	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il10_10	10.0	1.1122004419886913	sigma_pSTAT3
obs_total_pS3	cond_il10_10	20.0	1.2591867062986717	sigma_pSTAT3
obs_total_pS3	cond_il10_10	30.0	1.0737077808663578	sigma_pSTAT3
obs_total_pS3	cond_il10_10	45.0	0.7486680703899142	sigma_pSTAT3
obs_total_pS3	cond_il10_10	60.0	0.48766185481344615	sigma_pSTAT3
obs_total_pS3	cond_il10_10	90.0	0.426320793517933	sigma_pSTAT3
obs_total_pS1	cond_il6_01	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01	10.0	0.01952607397069935	sigma_pSTAT1
obs_total_pS1	cond_il6_01	20.0	0.06283446445011777	sigma_pSTAT1
obs_total_pS1	cond_il6_01	30.0	0.04909925694866011	sigma_pSTAT1
obs_total_pS1	cond_il6_01	45.0	0.044997126516029905	sigma_pSTAT1
obs_total_pS1	cond_il6_01	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01	90.0	0.0026359364934340273	sigma_pSTAT1
obs_total_pS3	cond_il6_01	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_01	10.0	0.029086053287449294	sigma_pSTAT3
obs_total_pS3	cond_il6_01	20.0	0.17928031147942958	sigma_pSTAT3
obs_total_pS3	cond_il6_01	30.0	0.2462628340794168	sigma_pSTAT3
obs_total_pS3	cond_il6_01	45.0	0.13235579547001955	sigma_pSTAT3
obs_total_pS3	cond_il6_01	60.0	0.15921468621739263	sigma_pSTAT3
obs_total_pS3	cond_il6_01	90.0	0.163567128804886	sigma_pSTAT3
obs_total_pS1	cond_il6_01_il10_01	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	10.0	0.03824890640779188	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	20.0	0.029481276802782203	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	30.0	0.09234083086878045	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	45.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	90.0	0.0	sigma_pSTAT1
obs_total_pS3	cond_il6_01_il10_01	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_01	10.0	0.17511769738964403	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_01	20.0	0.4209088363356916	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_01	30.0	0.4962603706122538	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_01	45.0	0.45204387265541723	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_01	60.0	0.5020251075601597	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_01	90.0	0.40438087416877505	sigma_pSTAT3
obs_total_pS1	cond_il6_01_il10_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	10.0	0.04046356629479688	sigma_pSTAT1
